year,gini,gdp_pc_constant_usd,gdp_growth_pct,trade_pct_gdp,fdi_net_inflows_pct_gdp,unemployment_ilo_pct
1960,,3993.43679652042,,46.8554968795007,,
1961,,4032.2227245037,3.84473414174089,43.7481031866464,,
1962,,4155.85711467972,6.17793085042746,43.3523537803138,,
1963,,4329.07391977209,7.37370924877223,44.9761382690571,,
1964,,4532.23430548773,7.93960864480677,45.9484777517564,,
1965,,4664.09699107786,6.12279809601442,45.5168719871452,,
1966,,4722.49942007925,4.43838608946889,42.0943749384297,,
1967,,4906.85685086378,7.19652306514106,42.4918148836386,,
1968,,4953.80064833126,4.15337298293346,41.2933289731851,,
1969,,5029.64691362757,4.71590286722241,39.62195565249,,
1970,,5135.5615026895,5.24866143118292,39.7862232779097,1.5769332277648,
1971,,5200.7432180827,4.27893440296982,40.4980888676541,1.11084567606293,
1972,,5137.37692437712,1.65482970884699,40.7725777353285,0.466954736097573,
1973,,5220.82176643606,4.57194474637271,41.1514967725166,0.0823116579300609,
1974,,5385.83133677931,6.11112210372188,48.796358852185,1.68189737936919,
1975,,5327.51843473453,1.69543377931099,49.8140560983297,0.438071225969157,
1976,,5301.98639575895,2.24986032919334,48.8807534303999,0.0447139703210994,
1977,,5155.68575875517,-0.0939791161255812,48.2113862390907,-0.268926324335279,
1978,,5168.06930314104,3.01447977912923,50.9515108298422,-0.21169444692039,
1979,,5220.72505658187,3.79051926405782,54.1070082893745,-0.768651092662183,
1980,,5399.54067871187,6.62058342724157,56.5073165127734,-0.0115197239973003,
1981,,5498.59203384975,5.36079105964045,52.1929556270568,0.069786313754756,
1982,,5291.38261097586,-0.383419108375435,47.141815686779,0.383800264903532,
1983,,5015.37142372166,-1.84655774595063,40.2562021253767,0.0736974743657925,
1984,,5091.71936365917,5.09915163001477,43.392941289225,0.494284426190229,
1985,,4865.05694085787,-1.21154088240387,47.9482663808045,-0.702215388638934,
1986,,4712.81869464239,0.0178492401652193,46.6489279194359,-0.0688258892123962,
1987,,4664.13011613961,2.10072902053675,44.9712541338082,-0.198546075632057,
1988,,4714.22284174624,4.20010964838187,45.8513122493528,0.152377367726155,
1989,,4687.291051902,2.39479511538406,42.6997653451896,-0.186208198144161,
1990,,4544.23023212165,-0.317760426540374,38.2118009241798,-0.0600742002495873,
1991,,4396.36069450543,-1.0182449675445,34.8816092569776,0.187963513611018,23.137
1992,,4225.814328485,-2.13703284500521,34.3213534993474,0.00228504771765059,23.463
1993,59.3,4193.59826135345,1.23355793864741,35.6981243460429,0.00767048159682976,23.361
1994,,4258.26184733408,3.20000000297172,37.1146091666279,0.24389539814991,23.067
1995,,4337.29729686998,3.10000000054411,39.4780337793026,0.72694450392697,22.705
1996,,4465.50649854807,4.29999999726792,42.199251732528,0.500131495666207,22.5
1997,,4527.04992403877,2.60000000146347,42.3013344291831,2.25505250994968,22.549
1998,,4494.85711232358,0.50000000034143,44.0357453368965,0.359738435986599,22.739
1999,,4552.85007973031,2.39999999746338,42.2582960172673,0.992187596290552,22.884
2000,57.8,4700.87555500704,4.20000000067826,46.2207217354077,0.638427514423676,22.788
2001,,4786.482450463,2.70000000019104,49.170945185829,5.36834529785161,22.652
2002,,4916.81498068625,3.70037440406668,53.4655016294369,1.14635726911695,22.579
2003,,5011.62223150169,2.94907546754213,45.723862568979,0.397492744432543,22.679
2004,,5187.35683424034,4.55455990721774,45.6435752240041,0.274199790569949,22.567
2005,65,5406.07581377638,5.27705197295467,47.4277813970329,2.25781874505445,22.472
2006,,5650.9883176549,5.60380645895889,53.7681412741145,0.205125538574008,22.304
2007,,5891.42069421698,5.36047405394162,57.125139137747,1.97755772219349,22.26
2008,62.5,6009.71963138635,3.1910438863288,65.9745237996233,3.12686614310453,22.407
2009,,5847.05811084505,-1.53808913525583,49.5875353278801,2.31217470344994,23.523
2010,60.9,5953.94506512821,3.03973288127956,50.4060871625999,0.884904611686012,24.683
2011,,6067.12482726885,3.16855627858818,54.6363504358971,0.903381424332556,24.639
2012,,6121.55783860713,2.39623238465745,55.5826171933345,1.06492249485696,24.727
2013,,6170.87670863373,2.48546800826588,58.875027630051,2.05358095229684,24.561
2014,59.6,6155.00589462516,1.41382645223793,59.4995740550593,1.51932743753979,24.89
2015,,6112.27382485974,1.32186223678229,56.7266761447156,0.438735792056356,25.149
2016,,6095.295060428,0.664552307858116,55.8612575048782,0.684612553455795,26.536
2017,,6125.6920507497,1.15794695181735,53.5359318293741,0.539673956759456,27.035
2018,,6117.2701406047,1.55678384721676,54.4855451276341,1.3742911715346,26.906
2019,,6032.82972598668,0.25993557687633,53.8979964081406,1.31407752293306,28.468
2020,,5569.58483319272,-6.1689177146757,50.7596590804177,0.933073684352391,29.217
2021,,5750.90937479584,4.85864865060148,56.1647136277546,9.68098022663018,34.007
2022,54.1,5786.86505344736,2.05813661692193,64.94713440234,2.26670277731613,33.268
2023,,5756.55049453121,0.80610455095804,65.6798759740707,1.0127377916456,32.098
